RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
20,Joshua Kimmich,,FC Bayern Munchen,CDM,89,72,74,89,84,83,79
23,Harry Kane,,FC Bayern Munchen,ST,89,64,92,83,82,48,82
37,Jamal Musiala,,FC Bayern Munchen,CAM,88,80,82,80,90,66,65
50,Serhou Guirassy,,Borussia Dortmund,ST,87,72,88,76,83,45,83
67,Jonathan Tah,,FC Bayern Munchen,CB,87,63,38,60,63,87,86
83,Michael Olise,,FC Bayern Munchen,RM,86,78,80,84,87,50,66
103,Gregor Kobel,,Borussia Dortmund,GK,86,87,83,64,87,44,86
129,Péter Gulácsi,,RB Leipzig,GK,85,83,83,74,84,43,87
132,Luis Díaz,,FC Bayern Munchen,LM,85,88,81,76,87,45,75
134,Nico Schlotterbeck,,Borussia Dortmund,CB,85,74,60,75,73,85,82
154,Dayot Upamecano,,FC Bayern Munchen,CB,85,77,45,64,73,84,84
156,Patrik Schick,,Leverkusen,ST,85,72,83,71,81,38,77
170,Alphonso Davies,,FC Bayern Munchen,LB,84,94,66,78,85,74,76
190,Grimaldo,,Leverkusen,LM,84,72,73,87,85,74,67
199,Exequiel Palacios,,Leverkusen,CM,84,62,76,80,82,81,71
203,Manuel Neuer,,FC Bayern Munchen,GK,84,81,81,90,81,31,86
233,Willi Orban,,RB Leipzig,CB,84,57,40,56,56,86,83
265,Aleix García,,Leverkusen,CM,83,65,75,85,84,75,66
275,Oliver Baumann,,TSG Hoffenheim,GK,83,83,81,78,83,39,80
285,Julian Brandt,,Borussia Dortmund,CAM,83,74,78,83,84,44,70
293,Angelo Stiller,,VfB Stuttgart,CDM,83,56,58,83,84,76,71
315,Leon Goretzka,,FC Bayern Munchen,CM,82,77,78,80,80,80,82
320,Felix Nmecha,,Borussia Dortmund,CDM,82,82,74,73,81,80,86
325,Emre Can,,Borussia Dortmund,CB,82,77,76,72,74,82,84
335,Malik Tillman,,Leverkusen,CAM,82,84,76,77,83,65,77
340,Konrad Laimer,,FC Bayern Munchen,RB,82,82,69,76,75,81,76
344,David Raum,,RB Leipzig,LB,82,86,61,80,79,74,78
358,Maximilian Mittelstädt,,VfB Stuttgart,LB,82,81,62,77,77,78,74
389,Serge Gnabry,,FC Bayern Munchen,LM,82,79,83,78,84,43,66
390,Jonathan Burkardt,,Frankfurt,ST,82,83,82,67,81,44,76
404,Mario Götze,,Frankfurt,CM,82,60,75,85,85,56,67
417,Ritsu Doan,,Frankfurt,RM,82,82,71,78,85,41,64
423,Waldemar Anton,,Borussia Dortmund,CB,82,69,47,67,66,84,84
434,Matthias Ginter,,SC Freiburg,CB,82,55,58,71,66,85,75
442,Robin Koch,,Frankfurt,CB,82,66,44,63,66,83,81
447,Kim Min Jae,,FC Bayern Munchen,CB,82,73,33,58,63,83,84
487,Alexander Nübel,,VfB Stuttgart,GK,81,81,76,84,82,48,78
495,Robert Andrich,,Leverkusen,CDM,81,57,77,76,73,83,81
506,Nadiem Amiri,,1. FSV Mainz 05,CM,81,65,79,82,82,62,72
535,Edmond Tapsoba,,Leverkusen,CB,81,75,56,68,70,82,80
536,Karim Adeyemi,,Borussia Dortmund,RM,81,96,76,72,82,36,69
556,Andrej Kramarić,,TSG Hoffenheim,CAM,81,67,82,78,84,33,73
562,Tim Kleindienst,,M'gladbach,ST,81,67,82,62,70,45,88
565,Victor Boniface,,SV Werder Bremen,ST,81,67,83,66,80,38,79
568,Niklas Süle,,Borussia Dortmund,CB,81,61,51,68,67,81,79
582,Marcel Sabitzer,,Borussia Dortmund,CDM,80,74,80,80,80,76,76
614,Raphaël Guerreiro,,FC Bayern Munchen,LB,80,69,78,85,88,74,54
622,Xaver Schlager,,RB Leipzig,CDM,80,69,70,74,78,75,78
635,Ellyes Skhiri,,Frankfurt,CDM,80,64,73,74,75,80,74
645,Frederik Rønnow,,Union Berlin,GK,80,80,80,69,82,47,78
646,Mohamed Amoura,,VfL Wolfsburg,ST,80,90,81,71,86,47,61
650,Franck Honorat,,M'gladbach,RM,80,84,78,79,78,53,63
654,Pascal Groß,,Borussia Dortmund,CDM,80,48,75,84,79,72,76
658,Benjamin Henrichs,,RB Leipzig,RB,80,73,54,76,78,78,74
686,Ermedin Demirović,,VfB Stuttgart,ST,80,72,81,73,78,42,78
689,Nicolas Jackson,,FC Bayern Munchen,ST,80,82,77,69,79,40,77
706,Vincenzo Grifo,,SC Freiburg,LM,80,70,76,82,81,43,66
717,Deniz Undav,,VfB Stuttgart,ST,80,66,82,74,80,33,77
719,Castello Lukeba,,RB Leipzig,CB,80,72,43,68,73,81,75
723,Arthur Theate,,Frankfurt,CB,80,67,40,70,71,80,82
766,Maximilian Arnold,,VfL Wolfsburg,CDM,79,64,80,79,76,75,75
772,Ramy Bensebaini,,Borussia Dortmund,LB,79,73,70,70,77,78,79
788,Julian Ryerson,,Borussia Dortmund,RB,79,74,63,71,76,77,82
819,Rasmus Kristensen,,Frankfurt,RB,79,69,65,70,72,79,81
837,Kamil Grabara,,VfL Wolfsburg,GK,79,80,76,73,84,42,78
