RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
1281,Gustavo Hamer,,sheffield-utd,LM,77,70,72,79,76,72,76
1585,Bright Osayi-Samuel,,birmingham-city,RB,76,93,58,63,79,69,80
1615,Michael Cooper,,sheffield-utd,GK,76,76,74,77,77,54,75
1660,Leif Davis,,ipswich,LB,76,80,54,76,73,70,73
1711,Abdul Fatawu,,leicester-city,RM,76,83,73,74,78,46,64
1812,Azor Matusiwa,,ipswich,CDM,76,57,53,67,70,74,78
1848,Marvin Ducksch,,birmingham-city,ST,76,56,78,79,75,33,68
1855,Chuba Akpom,,ipswich,ST,76,76,75,59,71,32,74
1995,Boubakary Soumaré,,leicester-city,CDM,75,73,56,73,75,71,77
2028,Jens-Lys Cajuste,,ipswich,CDM,75,65,63,70,75,72,75
2086,Kyogo Furuhashi,,birmingham-city,ST,75,84,75,67,75,48,64
2098,Victor Kristiansen,,leicester-city,LB,75,68,59,67,73,72,73
2105,Josh Sargent,,norwich,ST,75,74,76,62,69,48,82
2170,Stephy Mavididi,,leicester-city,LM,75,87,73,69,75,28,72
2241,Jaden Philogene,,ipswich,LM,75,82,71,69,78,37,59
2353,Dara O'Shea,,ipswich,CB,75,69,33,55,58,75,76
2411,Chiedozie Ogbene,,sheffield-utd,RM,74,90,65,66,74,64,73
2412,Jack Rudoni,,coventry-city,CAM,74,73,69,74,76,65,75
2440,Milan van Ewijk,,coventry-city,RB,74,94,58,66,70,67,71
2470,Alfie Doughty,,millwall,LB,74,82,58,73,71,68,70
2485,Harrison Burrows,,sheffield-utd,LB,74,76,64,73,72,67,68
2503,Finn Azaz,,southampton,CAM,74,74,71,73,74,57,68
2507,Ricardo Pereira,,leicester-city,RB,74,69,62,73,74,73,65
2517,Mathias Kvistgaarden,,norwich,ST,74,87,72,62,76,48,70
2537,Flynn Downes,,southampton,CM,74,62,59,71,74,71,76
2546,Thomas Kaminski,,charlton-ath,GK,74,73,74,70,76,46,73
2552,Ben Brereton Díaz,,derby-county,LM,74,81,73,66,73,41,78
2576,Samuel Iling-Junior,,west-brom,LM,74,81,64,71,77,56,62
2594,Matt Grimes,,coventry-city,CDM,74,62,60,76,72,68,71
2595,Sammie Szmodics,,ipswich,LM,74,77,73,69,76,51,63
2633,Viktor Johansson,,stoke-city,GK,74,75,71,70,77,40,73
2684,Giorgi Chakvetadze,,watford,LM,74,76,69,73,77,41,66
2699,Kanya Fujimoto,,birmingham-city,CAM,74,79,68,73,75,54,52
2717,Conor Chaplin,,portsmouth,CAM,74,81,74,70,76,46,52
2718,Ben Sheaf,,wrexham,CDM,74,55,54,71,71,73,75
2753,Harry Winks,,leicester-city,CDM,74,51,60,74,74,69,67
2769,Jack Clarke,,ipswich,LM,74,78,71,68,75,40,60
2809,Jacob Greaves,,ipswich,CB,74,66,40,63,65,74,78
2828,Oliver Skipp,,leicester-city,CDM,74,60,47,68,70,71,67
2847,Adam Idah,,swansea-city,ST,74,80,73,57,68,24,78
2857,Oli McBurnie,,hull-city,ST,74,61,71,60,71,34,82
2858,Ilias Chair,,qpr,LM,74,79,66,71,78,32,53
2859,Taylor Harwood-Bellis,,southampton,CB,74,65,36,62,66,74,76
2903,Cédric Kipré,,ipswich,CB,74,68,35,49,55,72,87
2937,Jannik Vestergaard,,leicester-city,CB,74,32,48,61,54,73,79
2962,Jeffrey Schlupp,,norwich,LB,73,76,71,68,73,70,74
3001,Joe Aribo,,southampton,CM,73,70,65,71,75,66,74
3010,John Lundstram,,hull-city,CDM,73,65,71,70,69,69,76
3041,Callum O'Hare,,sheffield-utd,CAM,73,74,65,71,77,62,68
3045,Jason Knight,,bristol-city,CM,73,72,64,70,72,67,72
3060,Matěj Jurásek,,norwich,RW,73,81,71,67,74,54,69
3083,Ebou Adams,,derby-county,CDM,73,71,59,62,67,71,83
3084,Amir Hadžiahmetović,,hull-city,CDM,73,65,60,73,72,70,73
3092,Gavin Bazunu,,southampton,GK,73,74,72,74,76,47,69
3095,Hayden Hackney,,middlesbrough,CDM,73,67,62,69,72,68,74
3098,Jordan Ayew,,leicester-city,RM,73,66,73,70,75,56,71
3108,Elias Jelert,,southampton,RB,73,84,57,68,72,67,63
3116,Max Bird,,bristol-city,CM,73,67,63,70,71,68,71
3128,Marcelino Núñez,,ipswich,CM,73,62,69,73,73,63,69
3140,Paul Nardi,,qpr,GK,73,74,68,68,76,50,72
3146,Aidan Morris,,middlesbrough,CDM,73,73,53,61,70,70,81
3155,Ryan Manning,,southampton,LB,73,68,60,72,72,68,67
3166,Ashley Young,,ipswich,RB,73,53,64,75,73,73,68
3192,Tommy Doyle,,birmingham-city,CM,73,65,66,74,74,65,60
3207,Josh Murphy,,portsmouth,LM,73,92,69,68,73,38,62
3208,Alex Mowatt,,west-brom,CDM,73,50,69,74,70,66,73
3226,Caspar Jander,,southampton,CM,73,65,55,73,73,63,72
3260,Imrân Louza,,watford,CM,73,60,66,72,74,62,64
3272,Issa Kaboré,,wrexham,RB,73,81,39,64,73,67,73
3283,Morgan Whittaker,,middlesbrough,RM,73,77,73,67,74,38,67
3286,Mohamed Belloumi,,hull-city,RM,73,81,71,70,76,38,60
3307,Nathan Broadhead,,wrexham,LM,73,76,72,68,74,37,67
3308,Jimmy Dunne,,qpr,RB,73,64,46,64,67,73,80
3309,Phil Neumann,,birmingham-city,CB,73,81,33,61,68,72,79
3310,Haji Wright,,coventry-city,ST,73,82,72,60,71,33,76
3322,Alex Palmer,,ipswich,GK,73,74,72,72,73,30,72
3335,Adam Armstrong,,southampton,ST,73,76,74,66,73,35,68
3353,Mads Roerslev,,southampton,RB,73,68,45,69,70,70,69
3361,Barry Bannan,,sheffield-wed,CM,73,57,63,74,75,60,61
3362,Aaron Cresswell,,stoke-city,CB,73,50,59,73,71,75,62
3377,Ben Godfrey,,sheffield-utd,CB,73,79,43,60,60,72,75
3378,Julián Carranza,,leicester-city,ST,73,65,73,60,71,43,77
3438,Carlton Morris,,derby-county,ST,73,71,73,58,69,34,77
3453,Japhet Tanganga,,sheffield-utd,CB,73,71,33,61,66,72,77
3467,Manuel Benson,,swansea-city,RM,73,82,70,69,78,35,44
3476,Léo Scienza,,southampton,LM,73,82,68,69,77,29,52
3489,Luke Woolfenden,,coventry-city,CB,73,65,35,62,63,72,77
3511,Eíran Cashin,,birmingham-city,CB,73,58,44,57,60,71,81
