RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
5,Ousmane Dembélé,,Paris SG,ST,90,91,88,83,93,50,69
12,Achraf Hakimi,,Paris SG,RB,89,92,79,82,83,82,79
15,Vitinha,,Paris SG,CM,89,72,80,86,90,75,70
45,Khvicha Kvaratskhelia,,Paris SG,LW,87,86,80,83,88,58,78
57,Marquinhos,,Paris SG,CB,87,78,56,75,74,89,80
79,Nuno Mendes,,Paris SG,LB,86,95,65,76,82,80,77
90,Willian Pacho,,Paris SG,CB,86,80,34,62,62,86,86
116,João Neves,,Paris SG,CM,85,74,69,80,84,82,83
123,Désiré Doué,,Paris SG,RW,85,83,80,77,90,55,74
138,Fabián Ruiz,,Paris SG,CM,85,61,77,80,81,75,72
191,Benjamin Pavard,,Om,CB,84,75,67,76,75,86,79
221,Bradley Barcola,,Paris SG,LW,84,90,77,78,84,39,66
262,Lucas Chevalier,,Paris SG,GK,83,84,79,73,86,50,80
330,Denis Zakaria,,As Monaco,CDM,82,80,67,74,77,80,85
346,Gerónimo Rulli,,Om,GK,82,82,77,80,83,54,81
393,Pierre-Emile Højbjerg,,Om,CDM,82,49,73,78,74,78,80
410,Mason Greenwood,,Om,RM,82,83,83,77,83,37,63
473,Corentin Tolisso,,Ol,CM,81,68,78,78,76,77,79
504,Kevin Trapp,,Paris Fc,GK,81,82,80,74,84,46,76
539,Lukáš Hrádecký,,As Monaco,GK,81,83,79,64,83,40,81
546,Lucas Hernández,,Paris SG,CB,81,71,54,72,70,82,77
554,Leonardo Balerdi,,Om,CB,81,77,46,65,69,82,79
561,Pierre-Emerick Aubameyang,,Om,ST,81,82,83,72,78,36,63
564,Nayef Aguerd,,Om,CB,81,72,50,67,65,82,77
596,Warren Zaïre-Emery,,Paris SG,CM,80,79,68,76,79,75,79
605,Brice Samba,,Stade Rennais Fc,GK,80,78,80,80,80,53,80
608,Jonathan Clauss,,Ogc Nice,RB,80,85,69,76,78,73,69
670,Benjamin André,,Losc Lille,CDM,80,55,64,73,76,79,83
698,Igor Paixão,,Om,LM,80,83,80,75,81,32,70
700,Gonçalo Ramos,,Paris SG,ST,80,73,79,64,77,48,79
712,Maghnes Akliouche,,As Monaco,RM,80,74,70,78,83,48,62
742,Alexsandro,,Losc Lille,CB,80,66,40,63,59,80,81
793,Paul Pogba,,As Monaco,CM,79,64,76,81,83,60,78
